State,Year,Quarter,Transaction_Type,Transaction_Count,Transaction_Amount
Andhra Pradesh,2019,4,P2P,73565940,228673344761.69086
Andhra Pradesh,2019,4,Retail,48905204,18839555775.579308
Andhra Pradesh,2019,4,Utility,8291836,6770993321.060511
Andhra Pradesh,2020,1,P2P,86063489,293219560970.77124
Andhra Pradesh,2020,1,Retail,58613484,25753304148.447426
Andhra Pradesh,2020,1,Utility,14509601,9555197112.375233
Andhra Pradesh,2020,2,P2P,94711506,334281400440.19324
Andhra Pradesh,2020,2,Retail,58995509,32882376987.781883
Andhra Pradesh,2020,2,Utility,22577871,13448528903.32977
Andhra Pradesh,2020,3,P2P,136309737,513947389670.1229
Andhra Pradesh,2020,3,Retail,90557252,53839104966.40083
Andhra Pradesh,2020,3,Utility,24510120,17608984015.605423
Andhra Pradesh,2020,4,P2P,178466683,663199285940.3143
Andhra Pradesh,2020,4,Utility,29154133,22037928658.47608
Andhra Pradesh,2020,4,Retail,118472460,75401456430.28206
Andhra Pradesh,2021,1,P2P,187035752,716653096220.1884
Andhra Pradesh,2021,1,Retail,122228605,82759457094.47568
Andhra Pradesh,2021,1,Utility,51307542,27984023265.917984
Andhra Pradesh,2021,2,Retail,137701586,103373510690.33716
Andhra Pradesh,2021,2,Utility,69008588,36519467539.585205
Andhra Pradesh,2021,2,P2P,244005532,927829825258.4785
Andhra Pradesh,2021,3,P2P,283896229,1049054258625.8699
Andhra Pradesh,2021,3,Retail,195005296,138303222601.05695
Andhra Pradesh,2021,3,Utility,73567732,42224303205.05412
Andhra Pradesh,2021,4,P2P,288996866,1042992560724.562
Andhra Pradesh,2021,4,Retail,223299270,157162774883.99747
Andhra Pradesh,2021,4,Utility,64264055,40950541166.518906
Andhra Pradesh,2022,1,P2P,359825164,1324402943762.77
Andhra Pradesh,2022,1,Retail,295596425,193230061446.52255
Andhra Pradesh,2022,1,Utility,70133038,48001862333.111694
Andhra Pradesh,2022,2,P2P,402016237,1499434873679.222
Andhra Pradesh,2022,2,Retail,357185042,236219012585.7199
Andhra Pradesh,2022,2,Utility,81131062,57831988032.92065
Andhra Pradesh,2022,3,P2P,442266221,1615640055543.1492
Andhra Pradesh,2022,3,Retail,425082142,277017192718.0835
